Id,title,description,link,price,brand,condition,image_link,gtin,shipping,product_type,google_product_category,color,size,mpn,"age group",gender,availability,c:druse:boolean,item_group_id
EMOSF00503L2160,"Kotka Sofa 2 Seater with Armrest (Gail)","<p>Jalanan macet di Malam Minggu, tapi Anda menginginkan waktu berduaan dengan pasangan terkasih pastinya menjadi salah satu hal paling menyebalkan. Habiskan waktu berdua dengan menonton film favorit Anda sambil bersantai dengan <strong>Kotka</strong>. Menggunakan indoor foam dan indoor fabric upholstery yang dapat memastikan kenyamanan saat bersantai, serta kaki sofa yang terbuat dari kayu jati solid, <strong>Kotka</strong> yang didesain untuk 2 orang ini bisa menjadi teman terbaik Anda di Malam Minggu.</p>

",http://fabelio.com/kotka-2-seater-sofa-gail.html,4499000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-2s-gail-1.jpg,,,simple,,Grey,,,,,1,,
EMOSF00503L2301,"Kotka Sofa 2 Seater with Armrest (Natural White)","<p>Jalanan macet di Malam Minggu, tapi Anda menginginkan waktu berduaan dengan pasangan terkasih pastinya menjadi salah satu hal paling menyebalkan. Habiskan waktu berdua dengan menonton film favorit Anda sambil bersantai dengan <strong>Kotka</strong>. Menggunakan indoor foam dan indoor fabric upholstery yang dapat memastikan kenyamanan saat bersantai, serta kaki sofa yang terbuat dari kayu jati solid, <strong>Kotka</strong> yang didesain untuk 2 orang ini bisa menjadi teman terbaik Anda di Malam Minggu.</p>
",http://fabelio.com/kotka-2-seater-sofa-natural-white.html,4499000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-2s-natural-1.jpg,,,simple,,White,,,,,1,,
EMOSF00503L2305,"Kotka Sofa 2 Seater with Armrest (Earth)","<p>Jalanan macet di Malam Minggu, tapi Anda menginginkan waktu berduaan dengan pasangan terkasih pastinya menjadi salah satu hal paling menyebalkan. Habiskan waktu berdua dengan menonton film favorit Anda sambil bersantai dengan <strong>Kotka</strong>. Menggunakan indoor foam dan indoor fabric upholstery yang dapat memastikan kenyamanan saat bersantai, serta kaki sofa yang terbuat dari kayu jati solid, <strong>Kotka</strong> yang didesain untuk 2 orang ini bisa menjadi teman terbaik Anda di Malam Minggu.</p>

",http://fabelio.com/kotka-2-seater-sofa-earth.html,4499000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-2s-earth-1.jpg,,,simple,,Brown,,,,,1,,
EMOSF00503L1160,"Kotka Sofa 1 Seater with Armrest (Gail)","<p>Butuh waktu sejenak untuk bersantai setelah menghabiskan waktu seharian dari tempat Anda bekerja? Varian <strong>Kotka</strong> ini ada untuk dinikmati Anda sendiri, sambil menonton acara favorit di televisi. Dengan indoor foam dan indoor fabric upholstery yang pastinya bisa memanjakan Anda, <strong>Kotka</strong> akan menjadi pilihan terbaik Anda untuk menghabiskan waktu sendirian, terlepas dari kesibukan sehari-hari.</p>",http://fabelio.com/kotka-sofa-1-seater-gail.html,2399000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-1s-gail-1.jpg,,,simple,,Grey,,,,,1,,
EMOSF00503L1305,"Kotka Sofa 1 Seater with Armrest (Earth)","<p>Butuh waktu sejenak untuk bersantai setelah menghabiskan waktu seharian dari tempat Anda bekerja? Varian <strong>Kotka</strong> ini ada untuk dinikmati Anda sendiri, sambil menonton acara favorit di televisi. Dengan indoor foam dan indoor fabric upholstery yang pastinya bisa memanjakan Anda, <strong>Kotka</strong> akan menjadi pilihan terbaik Anda untuk menghabiskan waktu sendirian, terlepas dari kesibukan sehari-hari.</p>",http://fabelio.com/kotka-sofa-1-seater-earth.html,2399000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-1s-earth-1.jpg,,,simple,,Brown,,,,,1,,
EMOSF00503L3160,"Kotka Sofa 3 Seater with Armrest (Gail)","<p>Duduk bersama teman-teman tercinta saat menonton siaran olahraga favorit? Atau bermain video game sampai larut malam? Dengan indoor foam dan indoor fabric upholstery yang bisa menambah kenyamanan serta kaki sofa dari solidwood teak, <strong>Kotka</strong> yang didesain untuk 3 orang akan membuat keakraban Anda bersama teman-teman semakin meriah.</p>",http://fabelio.com/kotka-sofa-3-seater-with-armrest-gail.html,6499000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-3s-gail-1.jpg,,,simple,,Grey,,,,,1,,
EMOSF00503L3301,"Kotka Sofa 3 Seater with Armrest (Natural White)","<p>Duduk bersama teman-teman tercinta saat menonton siaran olahraga favorit? Atau bermain video game sampai larut malam? Dengan indoor foam dan indoor fabric upholstery yang bisa menambah kenyamanan serta kaki sofa dari solidwood teak, <strong>Kotka</strong> yang didesain untuk 3 orang akan membuat keakraban Anda bersama teman-teman semakin meriah.</p>",http://fabelio.com/kotka-sofa-3-seater-with-armrest-natural-white.html,6499000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-3s-natural-1.jpg,,,simple,,White,,,,,1,,
EMOSF00503L3305,"Kotka Sofa 3 Seater with Armrest (Earth)","<p>Duduk bersama teman-teman tercinta saat menonton siaran olahraga favorit? Atau bermain video game sampai larut malam? Dengan indoor foam dan indoor fabric upholstery yang bisa menambah kenyamanan serta kaki sofa dari solidwood teak, <strong>Kotka</strong> yang didesain untuk 3 orang akan membuat keakraban Anda bersama teman-teman semakin meriah.</p>",http://fabelio.com/kotka-sofa-3-seater-with-armrest-earth.html,6499000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-3s-earth-1.jpg,,,simple,,Brown,,,,,1,,
EMOSF00503L1303,"Kotka Sofa 1 Seater with Armrest (Vanilla)","<p>Butuh waktu sejenak untuk bersantai setelah menghabiskan waktu seharian dari tempat Anda bekerja? Varian <strong>Kotka</strong> ini ada untuk dinikmati Anda sendiri, sambil menonton acara favorit di televisi. Dengan indoor foam dan indoor fabric upholstery yang pastinya bisa memanjakan Anda, <strong>Kotka</strong> akan menjadi pilihan terbaik Anda untuk menghabiskan waktu sendirian, terlepas dari kesibukan sehari-hari.</p>",http://fabelio.com/kotka-sofa-1-seater-with-armrest-vanilla.html,2399000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-1s-vanilla-1.jpg,,,simple,,Khaki,,,,,1,,
EMOSF00503L1306,"Kotka Sofa 1 Seater with Armrest (Croco)","<p>Butuh waktu sejenak untuk bersantai setelah menghabiskan waktu seharian dari tempat Anda bekerja? Varian <strong>Kotka</strong> ini ada untuk dinikmati Anda sendiri, sambil menonton acara favorit di televisi. Dengan indoor foam dan indoor fabric upholstery yang pastinya bisa memanjakan Anda, <strong>Kotka</strong> akan menjadi pilihan terbaik Anda untuk menghabiskan waktu sendirian, terlepas dari kesibukan sehari-hari.</p>",http://fabelio.com/kotka-sofa-1-seater-with-armrest-croco.html,2399000,,,http://fabelio.com/media/catalog/product/k/o/kotka-sofa-1s-crocco-1.jpg,,,simple,,Brown,,,,,1,,
